Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,xG within 5s of Crosses,xGA within 5s of Crosses,xG within 15s of Set Pieces,xGA within 15s of Set Pieces,xGD within 15s of Set Pieces,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Vertical Tendency,Opponent Vertical Tendency,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
HJK,1.22,0.91,0.31,1.16,0.9,0.26,0.06,0.01,0.05,1.22,0.91,0.31,,,,,,0,1,-1,-1.31,63.2,57.82,,,48.88,1.28,0.24,310,25,13,13,10.16,54.17,12.39,3,6,18,3,7,143.9,68.39,30.33,21.87,75.9,37.52,1,HJK 0-1 Oulu,2026-04-11
Gnistan,1.65,1.97,-0.32,1.56,1.53,0.03,0.09,0.43,-0.34,1.65,1.97,-0.32,,,,,,0,1,-1,-0.68,24.9,22.59,,,46.38,0.34,1.4,103,8,10,25,29.41,17.86,17.53,6,4,17,4,11,14.8,4.1,166.87,95.5,33.07,13.22,1,KuPS 1-0 Gnistan,2026-04-11
KuPS,1.97,1.65,0.32,1.53,1.56,-0.03,0.43,0.09,0.34,1.97,1.65,0.32,,,,,,1,0,1,0.68,75.1,77.41,,,54.39,1.4,0.34,452,26,25,10,17.86,29.41,8.28,4,6,28,9,8,345.9,95.9,7.87,4.5,217.17,86.78,0,KuPS 1-0 Gnistan,2026-04-11
Jaro,1.59,0.27,1.32,1.34,0.18,1.16,0.26,0.09,0.17,1.59,0.27,1.32,,,,,,0,0,0,-1.32,46.4,57.06,,,51.51,0.63,0.46,243,20,18,7,28.57,15.22,15.0,2,6,23,6,10,146.9,74.91,77.93,84.71,188.3,87.57,0,VPS 0-0 Jaro,2026-04-10
VPS,0.27,1.59,-1.32,0.18,1.34,-1.16,0.09,0.26,-0.17,0.27,1.59,-1.32,,,,,,0,0,0,1.32,53.6,42.94,,,44.74,0.46,0.63,214,16,7,18,15.22,28.57,10.68,6,2,19,4,11,49.2,25.09,14.07,15.29,26.73,12.43,1,VPS 0-0 Jaro,2026-04-10
Mariehamn,0.26,2.01,-1.75,0.21,1.21,-1.0,0.05,0.8,-0.75,0.26,2.01,-1.75,,,,,,0,3,-3,-1.25,49.3,32.92,,,37.91,0.14,0.41,165,2,5,19,35.71,46.34,11.15,12,8,8,2,13,22.5,10.33,20.8,17.3,3.17,0.92,0,SJK 3-0 Mariehamn,2026-04-10
SJK,2.01,0.26,1.75,1.21,0.21,1.0,0.8,0.05,0.75,2.01,0.26,1.75,,,,,,3,0,3,1.25,50.7,67.08,,,51.34,0.41,0.14,282,15,19,5,46.34,35.71,9.93,8,12,25,7,14,195.4,89.67,99.4,82.7,341.38,99.08,2,SJK 3-0 Mariehamn,2026-04-10
Lahti,2.28,1.48,0.8,1.35,1.08,0.27,0.93,0.4,0.53,2.28,1.48,0.8,,,,,,1,2,-1,-1.8,59.5,56.99,,,46.54,0.68,0.81,213,17,18,14,26.47,17.28,7.0,5,10,22,6,17,153.2,65.64,14.93,15.16,100.87,45.99,2,TPS 2-1 Lahti,2026-04-10
TPS,1.48,2.28,-0.8,1.08,1.35,-0.27,0.4,0.93,-0.53,1.48,2.28,-0.8,,,,,,2,1,1,1.8,40.5,43.01,,,49.79,0.81,0.68,157,13,14,18,17.28,26.47,9.82,10,5,16,5,16,80.2,34.36,83.53,84.84,118.47,54.01,1,TPS 2-1 Lahti,2026-04-10
Oulu,2.2,1.67,0.53,2.18,1.49,0.69,0.02,0.18,-0.16,2.2,1.67,0.53,,,,,,5,1,4,3.47,48.4,46.71,,,45.69,0.58,0.42,194,11,15,13,25.86,30.95,17.0,4,6,14,2,6,93.5,52.71,39.47,43.47,108.57,68.67,0,Gnistan 1-5 Oulu,2026-04-04
Gnistan,1.67,2.2,-0.53,1.49,2.18,-0.69,0.18,0.02,0.16,1.67,2.2,-0.53,,,,,,1,5,-4,-3.47,51.6,53.29,,,47.51,0.42,0.58,216,14,13,15,30.95,25.86,12.89,6,4,25,7,13,83.9,47.29,51.33,56.53,49.53,31.33,4,Gnistan 1-5 Oulu,2026-04-04
Lahti,0.74,1.3,-0.56,0.69,1.3,-0.61,0.04,0.0,0.04,0.74,1.3,-0.56,,,,,,1,0,1,1.56,40.3,26.83,,,39.32,0.2,0.43,124,5,7,10,35.0,23.26,19.45,4,11,6,3,11,37.3,16.04,90.2,66.19,63.37,34.29,1,Jaro 0-1 Lahti,2026-04-04
Jaro,1.3,0.74,0.56,1.3,0.69,0.61,0.0,0.04,-0.04,1.3,0.74,0.56,,,,,,0,1,-1,-1.56,59.7,73.17,,,53.79,0.43,0.2,360,12,10,7,23.26,35.0,10.44,11,4,20,0,13,195.2,83.96,46.07,33.81,121.43,65.71,0,Jaro 0-1 Lahti,2026-04-04
KuPS,1.28,1.04,0.24,1.25,0.99,0.26,0.03,0.06,-0.03,1.28,1.04,0.24,,,,,,3,1,2,1.76,51.2,42.12,,,45.52,0.56,1.18,220,17,13,11,23.21,9.32,22.72,1,4,9,3,5,88.7,40.59,42.93,45.84,125.37,77.32,0,Ilves 1-3 KuPS,2026-04-04
Ilves,1.04,1.28,-0.24,0.99,1.25,-0.26,0.06,0.03,0.03,1.04,1.28,-0.24,,,,,,1,3,-2,-1.76,48.8,57.88,,,48.94,1.18,0.56,260,18,11,13,9.32,23.21,18.12,4,1,20,4,6,129.8,59.41,50.73,54.16,36.77,22.68,0,Ilves 1-3 KuPS,2026-04-04
TPS,0.94,0.6,0.34,0.83,0.6,0.23,0.11,0.0,0.11,0.94,0.6,0.34,,,,,,1,1,0,-0.34,50.8,63.64,,,53.35,0.48,0.47,282,14,17,7,35.42,14.89,11.7,8,1,23,10,12,254.7,76.33,76.6,61.58,234.27,86.43,3,Mariehamn 1-1 TPS,2026-04-04
Mariehamn,0.6,0.94,-0.34,0.6,0.83,-0.23,0.0,0.11,-0.11,0.6,0.94,-0.34,,,,,,1,1,0,0.34,49.2,36.36,,,44.3,0.47,0.48,183,6,7,17,14.89,35.42,11.81,1,8,12,0,13,79.0,23.67,47.8,38.42,36.77,13.57,1,Mariehamn 1-1 TPS,2026-04-04
SJK,0.97,3.11,-2.14,0.97,2.95,-1.98,0.0,0.16,-0.16,0.97,3.11,-2.14,,,,,,0,3,-3,-0.86,44.6,39.45,,,40.04,0.32,0.93,139,6,7,18,21.88,19.35,18.23,1,9,10,2,17,43.3,21.39,63.27,58.91,28.24,11.94,1,HJK 3-0 SJK,2026-04-04
HJK,3.11,0.97,2.14,2.95,0.97,1.98,0.16,0.0,0.16,3.11,0.97,2.14,,,,,,3,0,3,0.86,55.4,60.55,,,44.71,0.93,0.32,222,19,18,7,19.35,21.88,12.59,9,1,16,7,6,159.1,78.61,44.13,41.09,208.34,88.06,0,HJK 3-0 SJK,2026-04-04
VPS,0.07,1.12,-1.05,0.07,0.97,-0.9,0.0,0.15,-0.15,0.07,1.12,-1.05,,,,,,0,0,0,1.05,33.7,37.38,,,47.66,0.09,1.01,140,8,1,14,11.11,13.86,12.58,5,7,9,3,15,20.6,10.67,148.33,99.55,69.9,48.53,7,Inter Turku 0-0 VPS,2026-04-04
Inter Turku,1.12,0.07,1.05,0.97,0.07,0.9,0.15,0.0,0.15,1.12,0.07,1.05,,,,,,0,0,0,-1.05,66.3,62.62,,,44.5,1.01,0.09,240,17,14,1,13.86,11.11,5.71,7,5,21,4,14,172.5,89.33,0.67,0.45,74.13,51.47,3,Inter Turku 0-0 VPS,2026-04-04
